,Order,Mesh Size,Error,Alpha,Bonus Int,Type
0,1,1.0,0.0020243042751020104,5,15,hdg
1,1,1.0,0.0020247286790167295,10,15,hdg
2,1,1.0,0.0020381670456752587,15,15,hdg
3,1,1.0,0.0020601268926773455,20,15,hdg
4,1,1.0,0.002088088422144121,25,15,hdg
5,1,1.0,0.002120500637864848,30,15,hdg
6,1,1.0,0.0021563309777544648,35,15,hdg
7,1,1.0,0.0021948384932644325,40,15,hdg
8,1,1.0,0.0022354538014549745,45,15,hdg
9,1,1.0,0.002277714612452714,50,15,hdg
10,1,1.0,0.00232123104018467,55,15,hdg
11,1,1.0,0.002365666844300479,60,15,hdg
12,1,1.0,0.0024107290306436377,65,15,hdg
13,1,1.0,0.0024561616998359124,70,15,hdg
14,1,1.0,0.0025017419633072955,75,15,hdg
15,1,1.0,0.0025472768131705836,80,15,hdg
16,1,1.0,0.0025926004106170035,85,15,hdg
17,1,1.0,0.0026375715609211637,90,15,hdg
18,1,1.0,0.0026820712944899947,95,15,hdg
19,1,1.0,0.00272600054268711,100,15,hdg
20,1,0.9236708571873862,0.0020243042751020104,5,15,hdg
21,1,0.9236708571873862,0.0020247286790167295,10,15,hdg
22,1,0.9236708571873862,0.0020381670456752587,15,15,hdg
23,1,0.9236708571873862,0.0020601268926773455,20,15,hdg
24,1,0.9236708571873862,0.002088088422144121,25,15,hdg
25,1,0.9236708571873862,0.002120500637864848,30,15,hdg
26,1,0.9236708571873862,0.0021563309777544648,35,15,hdg
27,1,0.9236708571873862,0.0021948384932644325,40,15,hdg
28,1,0.9236708571873862,0.0022354538014549745,45,15,hdg
29,1,0.9236708571873862,0.002277714612452714,50,15,hdg
30,1,0.9236708571873862,0.00232123104018467,55,15,hdg
31,1,0.9236708571873862,0.002365666844300479,60,15,hdg
32,1,0.9236708571873862,0.0024107290306436377,65,15,hdg
33,1,0.9236708571873862,0.0024561616998359124,70,15,hdg
34,1,0.9236708571873862,0.0025017419633072955,75,15,hdg
35,1,0.9236708571873862,0.0025472768131705836,80,15,hdg
36,1,0.9236708571873862,0.0025926004106170035,85,15,hdg
37,1,0.9236708571873862,0.0026375715609211637,90,15,hdg
38,1,0.9236708571873862,0.0026820712944899947,95,15,hdg
39,1,0.9236708571873862,0.00272600054268711,100,15,hdg
40,1,0.8531678524172809,0.0020243042751020104,5,15,hdg
41,1,0.8531678524172809,0.0020247286790167295,10,15,hdg
42,1,0.8531678524172809,0.0020381670456752587,15,15,hdg
43,1,0.8531678524172809,0.0020601268926773455,20,15,hdg
44,1,0.8531678524172809,0.002088088422144121,25,15,hdg
45,1,0.8531678524172809,0.002120500637864848,30,15,hdg
46,1,0.8531678524172809,0.0021563309777544648,35,15,hdg
47,1,0.8531678524172809,0.0021948384932644325,40,15,hdg
48,1,0.8531678524172809,0.0022354538014549745,45,15,hdg
49,1,0.8531678524172809,0.002277714612452714,50,15,hdg
50,1,0.8531678524172809,0.00232123104018467,55,15,hdg
51,1,0.8531678524172809,0.002365666844300479,60,15,hdg
52,1,0.8531678524172809,0.0024107290306436377,65,15,hdg
53,1,0.8531678524172809,0.0024561616998359124,70,15,hdg
54,1,0.8531678524172809,0.0025017419633072955,75,15,hdg
55,1,0.8531678524172809,0.0025472768131705836,80,15,hdg
56,1,0.8531678524172809,0.0025926004106170035,85,15,hdg
57,1,0.8531678524172809,0.0026375715609211637,90,15,hdg
58,1,0.8531678524172809,0.0026820712944899947,95,15,hdg
59,1,0.8531678524172809,0.00272600054268711,100,15,hdg
60,1,0.7880462815669912,0.0012058174402917949,5,15,hdg
61,1,0.7880462815669912,0.0012238734422380059,10,15,hdg
62,1,0.7880462815669912,0.0012876526228901483,15,15,hdg
63,1,0.7880462815669912,0.001384632061312139,20,15,hdg
64,1,0.7880462815669912,0.0015037033631769964,25,15,hdg
65,1,0.7880462815669912,0.001636756949099042,30,15,hdg
66,1,0.7880462815669912,0.0017784839897700554,35,15,hdg
67,1,0.7880462815669912,0.0019256101279731036,40,15,hdg
68,1,0.7880462815669912,0.0020761832952875827,45,15,hdg
69,1,0.7880462815669912,0.002229065142907885,50,15,hdg
70,1,0.7880462815669912,0.0023836029737938375,55,15,hdg
71,1,0.7880462815669912,0.0025394274633376798,60,15,hdg
72,1,0.7880462815669912,0.002696330693017636,65,15,hdg
73,1,0.7880462815669912,0.0028541936435917043,70,15,hdg
74,1,0.7880462815669912,0.003012943685190436,75,15,hdg
75,1,0.7880462815669912,0.003172530129431709,80,15,hdg
76,1,0.7880462815669912,0.0033329105968625673,85,15,hdg
77,1,0.7880462815669912,0.0034940438099661675,90,15,hdg
78,1,0.7880462815669912,0.0036558861529608156,95,15,hdg
79,1,0.7880462815669912,0.0038183903895441197,100,15,hdg
80,1,0.7278953843983151,0.0020243042751020104,5,15,hdg
81,1,0.7278953843983151,0.0020247286790167295,10,15,hdg
82,1,0.7278953843983151,0.0020381670456752587,15,15,hdg
83,1,0.7278953843983151,0.0020601268926773455,20,15,hdg
84,1,0.7278953843983151,0.002088088422144121,25,15,hdg
85,1,0.7278953843983151,0.002120500637864848,30,15,hdg
86,1,0.7278953843983151,0.0021563309777544648,35,15,hdg
87,1,0.7278953843983151,0.0021948384932644325,40,15,hdg
88,1,0.7278953843983151,0.0022354538014549745,45,15,hdg
89,1,0.7278953843983151,0.002277714612452714,50,15,hdg
90,1,0.7278953843983151,0.00232123104018467,55,15,hdg
91,1,0.7278953843983151,0.002365666844300479,60,15,hdg
92,1,0.7278953843983151,0.0024107290306436377,65,15,hdg
