,Order,Mesh Size,Error,Alpha,Bonus Int
102,1.0,1.0,0.3662280088342666,5.0,2.0
103,1.0,1.0,0.36653547453610336,5.0,3.0
104,1.0,1.0,0.2373496691941079,5.0,4.0
105,1.0,1.0,0.2448502860232484,5.0,5.0
106,1.0,1.0,0.20917344416428463,5.0,6.0
107,1.0,1.0,0.20928752025925756,5.0,7.0
108,1.0,1.0,0.1889680208731592,5.0,8.0
109,1.0,1.0,0.18892767535057278,5.0,9.0
110,1.0,1.0,0.1634662348274835,5.0,10.0
111,1.0,1.0,0.1634813367864389,5.0,11.0
112,1.0,1.0,0.12541659284566933,5.0,12.0
113,1.0,1.0,0.12560414619739185,5.0,13.0
114,1.0,1.0,0.093477132018726,5.0,14.0
115,1.0,1.0,0.09420900715866931,5.0,15.0
116,1.0,1.0,0.1982927066631786,5.0,16.0
117,1.0,1.0,0.19923152326911386,5.0,17.0
118,1.0,1.0,0.5702119044484284,5.0,18.0
119,1.0,1.0,0.5712926528645951,5.0,19.0
120,1.0,1.0,0.6013145601345261,6.0,0.0
121,1.0,1.0,0.43342485997798175,6.0,1.0
122,1.0,1.0,0.0706811590024202,6.0,2.0
123,1.0,1.0,0.07070329514966052,6.0,3.0
124,1.0,1.0,0.0658367028860934,6.0,4.0
125,1.0,1.0,0.08444857117718357,6.0,5.0
126,1.0,1.0,0.06907508039186577,6.0,6.0
127,1.0,1.0,0.0694153190942068,6.0,7.0
128,1.0,1.0,0.0740277321264638,6.0,8.0
129,1.0,1.0,0.0739512124070044,6.0,9.0
130,1.0,1.0,0.0891257753587992,6.0,10.0
131,1.0,1.0,0.08920578609184435,6.0,11.0
132,1.0,1.0,0.21824843946589179,6.0,12.0
133,1.0,1.0,0.21952594828818536,6.0,13.0
134,1.0,1.0,0.2095497132811755,6.0,14.0
135,1.0,1.0,0.21097526904106928,6.0,15.0
136,1.0,1.0,0.10765159645102663,6.0,16.0
137,1.0,1.0,0.10810208043103521,6.0,17.0
138,1.0,1.0,0.09127995374914688,6.0,18.0
139,1.0,1.0,0.09151319633139775,6.0,19.0
140,1.0,1.0,0.43834021763560194,7.0,0.0
141,1.0,1.0,0.0738871803220378,7.0,1.0
142,1.0,1.0,0.06015626262646361,7.0,2.0
