,Order,Mesh Size,Error,Alpha,Bonus Int
36,1.0,1.0,0.007893598600209217,16.0,13.0
37,1.0,1.0,0.007638873652708164,16.0,15.0
38,1.0,1.0,0.00748183933883622,16.0,17.0
39,1.0,1.0,0.00739896024973416,16.0,19.0
40,1.0,1.0,0.00733938723534367,21.0,1.0
41,1.0,1.0,0.007900780233741599,21.0,3.0
42,1.0,1.0,0.017027120884478726,21.0,5.0
43,1.0,1.0,0.007062522921205871,21.0,7.0
44,1.0,1.0,0.006844109102496728,21.0,9.0
45,1.0,1.0,0.006539948609728374,21.0,11.0
46,1.0,1.0,0.006124269959885826,21.0,13.0
47,1.0,1.0,0.005751836642691877,21.0,15.0
48,1.0,1.0,0.005489305461478783,21.0,17.0
49,1.0,1.0,0.005326520347076256,21.0,19.0
50,1.0,1.0,0.006431918218814071,26.0,1.0
51,1.0,1.0,0.006719869975676835,26.0,3.0
52,1.0,1.0,0.0072028564852571475,26.0,5.0
53,1.0,1.0,0.006247937337849448,26.0,7.0
54,1.0,1.0,0.006099628658007383,26.0,9.0
55,1.0,1.0,0.0057168357712804796,26.0,11.0
56,1.0,1.0,0.0052093155602286455,26.0,13.0
57,1.0,1.0,0.004753921800582812,26.0,15.0
58,1.0,1.0,0.004425817854140099,26.0,17.0
59,1.0,1.0,0.004215650808687824,26.0,19.0
60,1.0,1.0,0.005892261249212611,31.0,1.0
61,1.0,1.0,0.005952026271328222,31.0,3.0
62,1.0,1.0,0.00619142335006967,31.0,5.0
63,1.0,1.0,0.005856004625376308,31.0,7.0
64,1.0,1.0,0.005616604392531491,31.0,9.0
65,1.0,1.0,0.005169852956585503,31.0,11.0
66,1.0,1.0,0.004612826867829056,31.0,13.0
67,1.0,1.0,0.004115108721415835,31.0,15.0
68,1.0,1.0,0.003752548920326561,31.0,17.0
69,1.0,1.0,0.003516991881225381,31.0,19.0
70,1.0,1.0,0.005521399632523841,36.0,1.0
71,1.0,1.0,0.005396856910315896,36.0,3.0
72,1.0,1.0,0.006779940828007707,36.0,5.0
73,1.0,1.0,0.0055468946129894,36.0,7.0
74,1.0,1.0,0.005232400453122415,36.0,9.0
75,1.0,1.0,0.004752846033557148,36.0,11.0
76,1.0,1.0,0.0041768423806660205,36.0,13.0
77,1.0,1.0,0.0036625138380820097,36.0,15.0
78,1.0,1.0,0.0032847087942800483,36.0,17.0
79,1.0,1.0,0.003037112559831497,36.0,19.0
80,1.0,1.0,0.0052404657682875114,41.0,1.0
81,1.0,1.0,0.004965307133996287,41.0,3.0
82,1.0,1.0,0.007241126824740518,41.0,5.0
83,1.0,1.0,0.005266117343655994,41.0,7.0
84,1.0,1.0,0.004904694397235701,41.0,9.0
85,1.0,1.0,0.004413651294453223,41.0,11.0
86,1.0,1.0,0.003836919521829312,41.0,13.0
87,1.0,1.0,0.0033212664453719292,41.0,15.0
88,1.0,1.0,0.002939873358236922,41.0,17.0
89,1.0,1.0,0.002688411761747419,41.0,19.0
90,1.0,1.0,0.005012777059891117,46.0,1.0
91,1.0,1.0,0.004612336664004459,46.0,3.0
92,1.0,1.0,0.007447713078668838,46.0,5.0
93,1.0,1.0,0.005004802938427812,46.0,7.0
94,1.0,1.0,0.00461712405188364,46.0,9.0
95,1.0,1.0,0.004127462124570331,46.0,11.0
96,1.0,1.0,0.0035605806626407476,46.0,13.0
97,1.0,1.0,0.003052686731990937,46.0,15.0
98,1.0,1.0,0.002674886895107983,46.0,17.0
99,1.0,1.0,0.002424698277074078,46.0,19.0
100,1.0,1.0,0.004819184040073154,51.0,1.0
